"paID","waterBuffer","landQualityMin","qualitySurface","kernelScale","metricVariant","nonProtectedPenalty","factorOrder","nameEco","paPriority","paArea","priority","scnID"
4354,1,100,"Venter",5,"uniform",1,56,"AtlanticMaritime",1,1036471105.72366,2,128
4354,1,0,"Kennedy",20,"uniform",1,66,"AtlanticMaritime",1,1036471105.72366,2,129
4354,1,100,"Kennedy",20,"uniform",1,68,"AtlanticMaritime",1,1036471105.72366,2,130
4354,1,0,"Venter",20,"uniform",1,70,"AtlanticMaritime",1,1036471105.72366,2,131
4354,1,100,"Venter",20,"uniform",1,72,"AtlanticMaritime",1,1036471105.72366,2,132
4354,1,0,"Kennedy",2,"samcM2",1,82,"AtlanticMaritime",1,1036471105.72366,2,133
4354,1,100,"Kennedy",2,"samcM2",1,84,"AtlanticMaritime",1,1036471105.72366,2,134
4354,1,0,"Venter",2,"samcM2",1,86,"AtlanticMaritime",1,1036471105.72366,2,135
4354,1,100,"Venter",2,"samcM2",1,88,"AtlanticMaritime",1,1036471105.72366,2,136
4354,1,0,"Kennedy",5,"samcM2",1,90,"AtlanticMaritime",1,1036471105.72366,2,137
4354,1,100,"Kennedy",5,"samcM2",1,92,"AtlanticMaritime",1,1036471105.72366,2,138
4354,1,0,"Venter",5,"samcM2",1,94,"AtlanticMaritime",1,1036471105.72366,2,139
4354,1,100,"Venter",5,"samcM2",1,96,"AtlanticMaritime",1,1036471105.72366,2,140
4354,1,0,"Kennedy",20,"samcM2",1,106,"AtlanticMaritime",1,1036471105.72366,2,141
4354,1,100,"Kennedy",20,"samcM2",1,108,"AtlanticMaritime",1,1036471105.72366,2,142
4354,1,0,"Venter",20,"samcM2",1,110,"AtlanticMaritime",1,1036471105.72366,2,143
4354,1,100,"Venter",20,"samcM2",1,112,"AtlanticMaritime",1,1036471105.72366,2,144
4354,1,0,"Kennedy",2,"samcM20",1,122,"AtlanticMaritime",1,1036471105.72366,2,145
4354,1,100,"Kennedy",2,"samcM20",1,124,"AtlanticMaritime",1,1036471105.72366,2,146
4354,1,0,"Venter",2,"samcM20",1,126,"AtlanticMaritime",1,1036471105.72366,2,147
4354,1,100,"Venter",2,"samcM20",1,128,"AtlanticMaritime",1,1036471105.72366,2,148
4354,1,0,"Kennedy",5,"samcM20",1,130,"AtlanticMaritime",1,1036471105.72366,2,149
4354,1,100,"Kennedy",5,"samcM20",1,132,"AtlanticMaritime",1,1036471105.72366,2,150
4354,1,0,"Venter",5,"samcM20",1,134,"AtlanticMaritime",1,1036471105.72366,2,151
4354,1,100,"Venter",5,"samcM20",1,136,"AtlanticMaritime",1,1036471105.72366,2,152
4354,1,0,"Kennedy",20,"samcM20",1,146,"AtlanticMaritime",1,1036471105.72366,2,153
4354,1,100,"Kennedy",20,"samcM20",1,148,"AtlanticMaritime",1,1036471105.72366,2,154
4354,1,0,"Venter",20,"samcM20",1,150,"AtlanticMaritime",1,1036471105.72366,2,155
4354,1,100,"Venter",20,"samcM20",1,152,"AtlanticMaritime",1,1036471105.72366,2,156
4354,1,0,"Kennedy",2,"samcB2",1,162,"AtlanticMaritime",1,1036471105.72366,2,157
4354,1,100,"Kennedy",2,"samcB2",1,164,"AtlanticMaritime",1,1036471105.72366,2,158
4354,1,0,"Venter",2,"samcB2",1,166,"AtlanticMaritime",1,1036471105.72366,2,159
4354,1,100,"Venter",2,"samcB2",1,168,"AtlanticMaritime",1,1036471105.72366,2,160
4354,1,0,"Kennedy",5,"samcB2",1,170,"AtlanticMaritime",1,1036471105.72366,2,161
4354,1,100,"Kennedy",5,"samcB2",1,172,"AtlanticMaritime",1,1036471105.72366,2,162
